UniqueAnimalID,min,max,dias_tracking,TotalDistance_km,distance_per_day,AvgLatitude,AvgLongitude,Year
31,1986-07-01,1986-11-30,153,2669.4570156275618,17.447431474689946,71.02567409836065,-146.764161147541,1986
32,1992-07-01,1993-10-11,468,5085.640069815971,10.866752285931563,71.56105666251557,-144.91725591531755,1992
33,1989-07-01,1989-11-30,153,3810.1402499024557,24.90287745034285,72.11649918032786,-160.486898852459,1989
34,1989-07-01,1989-11-30,153,2692.063896506676,17.595188866056706,72.70741672131147,-169.13269344262295,1989
35,2004-07-01,2006-11-30,883,10456.839412467238,11.842400240619748,74.01098009814613,-155.82665049073063,2004
37,1991-07-01,1991-11-30,153,2354.589275036589,15.389472385860058,74.4416962295082,-155.57825081967215,1991
39,1991-07-01,1991-11-30,153,3880.9843017545372,25.365910468983902,70.65294704918033,-143.66062704918033,1991
40,1988-07-01,1989-11-30,518,6105.782272181743,11.787224463671318,70.92660727449079,-142.43757022308438,1988
41,1991-07-01,2000-11-30,3441,18884.120888454094,5.487974684235424,72.81193612156295,-147.17135001447178,1991
42,1986-07-01,1986-11-19,142,2626.9537224552755,18.499674101797716,73.25367791519434,-145.9951545936396,1986
43,1986-07-01,1987-11-30,518,5896.267538234095,11.382755865316785,73.7194705400982,-157.03174926350243,1986
44,1992-07-01,1992-11-30,153,3325.3512963635435,21.73432219845453,71.30627672131148,-147.8697544262295,1992
